source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Massilioclostridium	g__Wujia	-0.1059	0.005	1.7150045924056143	4.1653377227471	0.1136363636363636	0.134297520661157
g__Mediterraneibacter	g__Megamonas	-0.0445	0.2877	6.871054933424183	6.688185231996184	0.7293388429752066	0.2789256198347107
g__Mediterraneibacter	g__Merdibacter	-0.1435	0.002	6.871054933424183	1.7684662207135164	0.7293388429752066	0.1033057851239669
g__Mediterraneibacter	g__Merdimmobilis	-0.1126	0.003	6.871054933424183	2.184776283809652	0.7293388429752066	0.1756198347107438
g__Mediterraneibacter	g__Merdimonas	-0.1792	0.001	6.871054933424183	2.788568608459656	0.7293388429752066	0.1198347107438016
g__Mediterraneibacter	g__Merdivicinus	-0.0463	0.2657	6.871054933424183	2.939216467024292	0.7293388429752066	0.1611570247933884
g__Mediterraneibacter	g__Muricomes	-0.1255	0.001	6.871054933424183	2.15845278974671	0.7293388429752066	0.140495867768595
g__Mediterraneibacter	g__Murimonas	0.1764	0.001	6.871054933424183	3.621229568488325	0.7293388429752066	0.3264462809917355
g__Mediterraneibacter	g__Nanosynbacter	-0.2331	0.001	6.871054933424183	5.599543895257287	0.7293388429752066	0.3429752066115702
g__Mediterraneibacter	g__Negativibacillus	-0.0071	0.8731	6.871054933424183	4.214735877207416	0.7293388429752066	0.2871900826446281
g__Mediterraneibacter	g__Odoribacter	0.1881	0.001	6.871054933424183	6.157935194356419	0.7293388429752066	0.4979338842975206
g__Mediterraneibacter	g__Oliverpabstia	0.1643	0.001	6.871054933424183	5.433649971067557	0.7293388429752066	0.3450413223140496
g__Mediterraneibacter	g__Onthenecus	0.0342	0.4006	6.871054933424183	3.50558835530103	0.7293388429752066	0.2024793388429752
g__Mediterraneibacter	g__Otoolea	0.1354	0.002	6.871054933424183	5.637003645213656	0.7293388429752066	0.7768595041322314
g__Mediterraneibacter	g__Parabacteroides	0.1488	0.001	6.871054933424183	6.192944193631491	0.7293388429752066	0.7128099173553719
g__Mediterraneibacter	g__Paraprevotella	-0.0324	0.4386	6.871054933424183	4.140906751288207	0.7293388429752066	0.1611570247933884
g__Mediterraneibacter	g__Pararoseburia	-0.0338	0.4006	6.871054933424183	2.825909598867752	0.7293388429752066	0.1219008264462809
g__Mediterraneibacter	g__Parasutterella	0.0174	0.6813	6.871054933424183	5.298451378186632	0.7293388429752066	0.2789256198347107
g__Mediterraneibacter	g__Pauljensenia	-0.2024	0.001	6.871054933424183	2.2533515315695056	0.7293388429752066	0.146694214876033
g__Mediterraneibacter	g__Pediococcus	-0.2188	0.001	6.871054933424183	6.044472607556895	0.7293388429752066	0.1632231404958677
g__Mediterraneibacter	g__Peptostreptococcus	-0.1705	0.002	6.871054933424183	4.158206308007135	0.7293388429752066	0.1714876033057851
g__Mediterraneibacter	g__Phascolarctobacterium	0.0218	0.6284	6.871054933424183	6.029728220366929	0.7293388429752066	0.3863636363636363
g__Mediterraneibacter	g__Phocaeicola	0.2274	0.001	6.871054933424183	8.725237087762615	0.7293388429752066	0.9462809917355371
g__Mediterraneibacter	g__Prevotella	0.0959	0.032	6.871054933424183	7.491746663855539	0.7293388429752066	0.4442148760330578
g__Mediterraneibacter	g__Pseudobutyricicoccus	-0.1005	0.002	6.871054933424183	1.9868852982679972	0.7293388429752066	0.1074380165289256
g__Mediterraneibacter	g__Pseudoflavonifractor_A	-0.147	0.001	6.871054933424183	2.297002529131489	0.7293388429752066	0.134297520661157
g__Mediterraneibacter	g__Pseudoscilispira	0.0093	0.8112	6.871054933424183	2.32481049555165	0.7293388429752066	0.2892561983471074
g__Mediterraneibacter	g__Roseburia	0.2059	0.001	6.871054933424183	6.270505006703759	0.7293388429752066	0.6735537190082644
g__Mediterraneibacter	g__Roseburia_D	-0.0049	0.9161	6.871054933424183	3.250214645379917	0.7293388429752066	0.1425619834710743
g__Mediterraneibacter	g__Rothia	-0.2208	0.001	6.871054933424183	4.05370153221366	0.7293388429752066	0.2603305785123967
g__Mediterraneibacter	g__Ruminiclostridium_E	-0.0645	0.0879	6.871054933424183	3.366299955668857	0.7293388429752066	0.1115702479338843
g__Mediterraneibacter	g__Ruminococcus_B	-0.2199	0.001	6.871054933424183	7.737947132127615	0.7293388429752066	0.8388429752066116
g__Mediterraneibacter	g__Ruminococcus_C	0.0077	0.8362	6.871054933424183	4.048462536450087	0.7293388429752066	0.2417355371900826
g__Mediterraneibacter	g__Ruminococcus_E	0.0752	0.0879	6.871054933424183	5.434585988920234	0.7293388429752066	0.2045454545454545
