source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Acetatifactor	g__Phascolarctobacterium	-0.0661	0.3906	2.808398174936492	4.050334621225658	0.1368421052631579	0.2526315789473684
g__Acetatifactor	g__Phocaeicola	-0.1308	0.1479	2.808398174936492	6.295535030438751	0.1368421052631579	0.8421052631578947
g__Acetatifactor	g__Prevotella	0.1677	0.04	2.808398174936492	4.834461467888535	0.1368421052631579	0.3789473684210526
g__Acetatifactor	g__Pseudobutyricicoccus	-0.0227	0.6843	2.808398174936492	0.1177830356563834	0.1368421052631579	0.0105263157894736
g__Acetatifactor	g__Pseudoflavonifractor_A	-0.1198	0.0869	2.808398174936492	1.8292425624827957	0.1368421052631579	0.0631578947368421
g__Acetatifactor	g__Pseudoscilispira	-0.0261	0.6823	2.808398174936492	0.7827593392496324	0.1368421052631579	0.0526315789473684
g__Acetatifactor	g__Roseburia	0.0105	0.9021	2.808398174936492	5.946129345177062	0.1368421052631579	0.3684210526315789
g__Acetatifactor	g__Roseburia_D	0.1014	0.1349	2.808398174936492	2.302585092994045	0.1368421052631579	0.0526315789473684
g__Acetatifactor	g__Rothia	-0.0084	0.9281	2.808398174936492	5.446198433361699	0.1368421052631579	0.3263157894736842
g__Acetatifactor	g__Ruminiclostridium_E	-0.0864	0.1588	2.808398174936492	1.0916436193520165	0.1368421052631579	0.0210526315789473
g__Acetatifactor	g__Ruminococcus_B	-0.065	0.4466	2.808398174936492	8.731669288638885	0.1368421052631579	0.8947368421052632
g__Acetatifactor	g__Ruminococcus_C	0.163	0.027	2.808398174936492	3.2904209920312963	0.1368421052631579	0.1578947368421052
g__Acetatifactor	g__Ruminococcus_E	0.0857	0.2468	2.808398174936492	4.278978258774435	0.1368421052631579	0.0842105263157894
g__Acetatifactor	g__Ruthenibacterium	-0.0563	0.5305	2.808398174936492	4.429575949943563	0.1368421052631579	0.3263157894736842
g__Acetatifactor	g__Sarcina	0.211	0.013	2.808398174936492	6.126914670707019	0.1368421052631579	0.431578947368421
g__Acetatifactor	g__Schaedlerella	0.0537	0.4955	2.808398174936492	3.143613340367654	0.1368421052631579	0.1578947368421052
g__Acetatifactor	g__Sellimonas	-0.0366	0.6384	2.808398174936492	4.43354125873288	0.1368421052631579	0.2105263157894736
g__Acetatifactor	g__Streptococcus	-0.0623	0.4635	2.808398174936492	8.673103037288884	0.1368421052631579	0.9894736842105264
g__Acetatifactor	g__Sutterella	-0.0696	0.4126	2.808398174936492	4.695924549256556	0.1368421052631579	0.231578947368421
g__Acetatifactor	g__Terrisporobacter	-0.0342	0.6563	2.808398174936492	4.231990741377896	0.1368421052631579	0.2105263157894736
g__Acetatifactor	g__Thomasclavelia	-0.0078	0.9201	2.808398174936492	6.514280498725525	0.1368421052631579	0.6421052631578947
g__Acetatifactor	g__Turicibacter	0.0216	0.7952	2.808398174936492	5.162402182568238	0.1368421052631579	0.3473684210526316
g__Acetatifactor	g__Tyzzerella	-0.064	0.4196	2.808398174936492	3.645232292007741	0.1368421052631579	0.1157894736842105
g__Acetatifactor	g__UBA3402	0.047	0.4605	2.808398174936492	1.6582280766035322	0.1368421052631579	0.0421052631578947
g__Acetatifactor	g__URXU01	-0.1449	0.036	2.808398174936492	1.924856739857481	0.1368421052631579	0.0736842105263157
g__Acetatifactor	g__Veillonella	0.0901	0.2927	2.808398174936492	7.295749206525474	0.1368421052631579	0.7684210526315789
g__Acetatifactor	g__Vescimonas	-0.0819	0.2358	2.808398174936492	1.9095425048844383	0.1368421052631579	0.0947368421052631
g__Acetatifactor	g__Weissella	-0.0305	0.7313	2.808398174936492	5.091190690835111	0.1368421052631579	0.4947368421052631
g__Acetatifactor	g__Wujia	-0.0123	0.8671	2.808398174936492	1.126011262856224	0.1368421052631579	0.0947368421052631
g__Acutalibacter	g__Adlercreutzia	0.0092	0.8981	3.8126629693485383	2.7555167383411336	0.1052631578947368	0.0631578947368421
g__Acutalibacter	g__Agathobacter	-0.1905	0.027	3.8126629693485383	6.995861542475836	0.1052631578947368	0.4842105263157895
g__Acutalibacter	g__Agathobaculum	-0.013	0.8571	3.8126629693485383	4.877103901471733	0.1052631578947368	0.3157894736842105
g__Acutalibacter	g__Alistipes	-0.0867	0.3017	3.8126629693485383	5.799849943402434	0.1052631578947368	0.2947368421052631
g__Acutalibacter	g__Alistipes_A	0.0399	0.4965	3.8126629693485383	0.3334916084830751	0.1052631578947368	0.0210526315789473
