#OTU ID	CT43	CT46	CT5	CT50	CT51	CT55	CT56	PD10	PD104	PD110	PD114	PD115	PD116	PD119	PD121	PD123	PD124	PD130	PD132	PD133	PD136	PD142	PD145	PD153	PD154	PD162	PD17	PD171	PD173	PD18	PD183	PD19	PD20	PD201	PD202	PD203	PD206	PD21	PD216	PD226	PD23	PD230	PD237	PD242	PD245	PD247	PD248	PD25	PD251	PD252	PD257	PD258	PD259	PD260	PD261	PD28	PD29	PD3	PD30	PD32	PD37	PD38	PD41	PD46	PD47	PD48	PD50	PD54	PD55	PD60	PD67	PD68	PD69	PD7	PD81	PD82	PD83	PD85	PD88	PD9	PD90	PD92	PD95	PD96	PD97	PV126	PV128	PV129	PV130	PV137	PV143	PV153	PV4	PV44	PV45
g__Enterococcus_B	0	0	0	0	0	157	340	2107	591	52	0	1072	50	27	360	31	256	908	0	128	104	55	26	0	0	0	951	74	33	0	1966	798	0	0	716	0	0	0	0	123	75	0	0	153	68	1332	72	0	111	21	0	75	0	348	32707	0	0	1018	15	57176	715	0	69330	2856	0	0	0	0	303	628	0	1000	0	0	0	10021	689	71	0	0	4574	17	5821	841	3913	0	0	0	0	0	0	105	0	0	348
g__Eubacterium_F	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	7	36	0	0
g__Eubacterium_G	69	22	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	148	8	283	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	672	91	0	0	0	0	13	0	0	0	0	0	0	0	95	211	21	0	0	0	0	33	382
g__Eubacterium_I	192	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	68	0	0	0	120	64	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	480	0	0	268	0	0	0	0	0	0	150	0	364	0
g__Evtepia	122	109	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	162	0	0	0	0	0	0	0	452	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	206	23	0	0	0	0	0	0
g__Faecalibacterium	1195	378	1747	1070	125	0	0	0	61	18	3988	12	0	4728	15	12	6	1174	1882	23	387	0	6	0	21	21	5	30	9	1157	6	0	240	3948	2394	402	1941	6231	0	5	0	7	4840	0	7	15	19	6	20	35	19	30	44	12	152	0	44	6	1462	0	0	1439	9	24890	227	0	8	113	5	19	21	12	7209	2998	16	11	0	54	3789	862	15	2432	7	16	676	258	3251	7764	15	0	8866	1319	12	2059	938
g__Faecalimonas	0	0	0	0	0	21	1006	0	0	1014	958	0	14652	93	4328	1235	901	129	0	9	0	0	0	184	2864	0	224	787	1033	0	0	2851	0	0	0	399	0	991	634	385	930	1087	0	1071	53	0	22	14	362	515	590	113	77	506	6	3299	63	629	8	0	2006	485	0	453	0	0	0	0	0	3236	0	6	0	0	3516	0	0	2108	16	0	0	0	0	0	0	77	49	126	218	360	0	0	4498	191	456
g__Faecousia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	10	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
g__Finegoldia	0	0	3	3	4	0	0	0	0	0	0	3	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	6	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	26	0	0	0	0	0	0	0	5	777	34	0	0	4	0	0	0	14	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
g__Flavonifractor	0	16	45	0	221	0	38	0	4	1348	43	399	0	0	5	0	0	20	23	0	138	0	0	0	5	0	0	86	0	24	0	512	0	29	16	8	168	0	221	0	6	795	23	1026	0	0	10	0	0	0	146	29	2	804	0	407	0	348	0	0	1370	6	0	124	195	0	0	10	0	193	806	0	0	18	594	0	2793	0	0	0	0	0	0	0	91	0	56	80	43	13	136	0	929	41	79
g__Fusicatenibacter	309	909	1729	1394	29	0	0	0	13	0	4	178	0	5	0	0	0	53	0	0	0	4	694	0	0	0	1583	7	0	0	0	0	166	1047	328	0	0	129	0	0	0	1344	484	0	0	9	8	0	3	5	4	7	12	0	49	0	523	0	125	4	0	0	0	0	16	0	0	0	0	7580	6322	8	3834	0	274	0	0	6	0	60	5	270	7	0	256	546	4878	2889	0	0	0	287	733	1289	2539
g__Fusobacterium_A	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	13	0	0	0	7	0	0	0	0	68	0
