	statistic	p-value	adjusted-p
GALACT-GLUCUROCAT-PWY	4.7424468541821625	0.09336642935626761	0.14131135253921584
PWY-6897	4.708945527784408	0.09494355100913124	0.1431456615214594
PWY-6071	4.673836734543298	0.09662494248909757	0.14512251898745687
PWY0-321	4.637836303188161	0.09837996025654054	0.14663476965993874
GLYCOCAT-PWY	4.641339107372005	0.09820780818609724	0.14663476965993874
HCAMHPDEG-PWY	4.481370921937392	0.10638555623412448	0.15737033224066715
PWY-6690	4.481370921937392	0.10638555623412448	0.15737033224066715
PWY-5686	4.468904557211772	0.10705074778331862	0.15775899673331165
PWY-5971	4.430776774416299	0.10911112865135007	0.16019311772033418
PWY-5005	4.29847431797416	0.11657305056762585	0.17050983515861692
HSERMETANA-PWY	4.24760997050771	0.119575777737691	0.1740914210950958
PWY-6895	4.242029179891915	0.11990990738692824	0.1740914210950958
PWY0-1277	4.183636275840259	0.12346245985342906	0.17858776480643612
TYRFUMCAT-PWY	4.135859775001401	0.12644727103176062	0.18223283178106678
P162-PWY	4.046877664860067	0.13220006862960104	0.1898257395707092
PWY0-1241	3.9416519356454955	0.13934171689638777	0.199350193516
PWY-6545	3.7984508582567287	0.14968451559757934	0.21336847314273127
PWY-5913	3.780981993311343	0.15099765129050924	0.21446043226767977
PWY-5430	3.7440723611927105	0.1538101574895331	0.21766636005738982
PWY-5647	3.7054039331429194	0.15681289019452593	0.22111745667717328
PWY-7254	3.5652358908546375	0.16819723919054422	0.2363201353501553
ANAEROFRUCAT-PWY	3.505805215902001	0.17327027714703888	0.2417151197211361
PWY-6628	3.5073062116418896	0.17314028695789688	0.2417151197211361
P101-PWY	3.4521816959570635	0.17797879802945749	0.24740315187073525
P562-PWY	3.4307178651918093	0.17989913745887887	0.24918891125046116
PWY-6317	3.3437605854862795	0.1878934386126617	0.25782679364804706
PWY-7219	3.341474581863622	0.18810832393709553	0.25782679364804706
PWY-6630	3.351560781702574	0.18716206291375015	0.25782679364804706
PWY-6629	3.2604135244246484	0.1958890674824692	0.26755579948825065
PWY-6505	3.243833472583101	0.19751974276071893	0.26884631653542296
P184-PWY	3.1585521416086784	0.20612426357812297	0.2786231424918076
PWY-6339	3.1585521416086784	0.20612426357812297	0.2786231424918076
PWY-6123	3.0547657464251188	0.2171031108232929	0.29245504963137736
PWY-5667	3.0393507643454996	0.21878289625457017	0.2927061274122577
PWY0-1319	3.0393507643454996	0.21878289625457017	0.2927061274122577
PWY-7007	2.951840658049057	0.22856827220123344	0.30475769626831123
PWY-7377	2.853818454179794	0.24004971600068353	0.3189813175331117
PWY-5677	2.814820041203397	0.2447764287901879	0.3241633786680867
TRNA-CHARGING-PWY	2.7720261444867447	0.25007033211048596	0.32895157780976675
PWY-5347	2.776647166498833	0.24949320883744258	0.32895157780976675
PWY-5088	2.749962125395953	0.25284438394987285	0.3314882893255858
CHLOROPHYLL-SYN	2.7167225183660917	0.25708172226078607	0.33592011708742714
PWY-7208	2.64854159982724	0.2659968533149058	0.346414506642668
NADSYN-PWY	2.6189608844073002	0.2699602799225549	0.3492555436621832
PWY-5651	2.6189608844073002	0.2699602799225549	0.3492555436621832
PWY-5531	2.588480581626355	0.2741060261164275	0.35197066633560115
PWY-5529	2.583768357936951	0.27475261198646417	0.35197066633560115
PWY-7159	2.588480581626355	0.2741060261164275	0.35197066633560115
PWY-6609	2.5769313111031806	0.27569346747639245	0.3520255350187161
GLYCOLYSIS	2.4845757380780924	0.28872290153756236	0.3671410369502684
PWY-6876	2.4798595415523916	0.28940454188171666	0.3671410369502684
PWY-6386	2.334739057313982	0.311184427325754	0.3934977274570825
PWY-5183	2.3110474170028557	0.3148925817908658	0.3969064053441138
PWY0-1479	2.304550695986721	0.3159171295672004	0.3969215217639185
P23-PWY	2.1514329858628116	0.3410533054555665	0.4271338521999427
PWY-5705	2.1150603049299233	0.3473125609453732	0.4335876557025042
PWY-6385	1.9678725838541595	0.37383666860057707	0.465218965369607
PWY0-1296	1.9495945961464258	0.3772688189295701	0.4680043576594667
ASPASN-PWY	1.9377875959855828	0.37950261254530687	0.469290296901452
PWY-6660	1.9096385542579704	0.3848816951930499	0.47001129132609204
PWY-6731	1.9096385542579704	0.3848816951930499	0.47001129132609204
METH-ACETATE-PWY	1.9178463150795522	0.3833054233714756	0.47001129132609204
PWY-6906	1.9097936956831085	0.384851840803627	0.47001129132609204
PWY-6728	1.8043767845656844	0.4056808986684153	0.49387239837894037
TEICHOICACID-PWY	1.7909690549813604	0.40840966498242814	0.4956550732913679
PWY-6387	1.767691426968895	0.41319083873537266	0.49873126046518207
PEPTIDOGLYCANSYN-PWY	1.7662490838936264	0.4134889276815923	0.49873126046518207
PWY-722	1.718943504636099	0.42338567575798136	0.5075449079422896
PWY-3661	1.718943504636099	0.42338567575798136	0.5075449079422896
1CMET2-PWY	1.697850952123872	0.42787444635999594	0.5113621432107268
ANAGLYCOLYSIS-PWY	1.67076412225083	0.433708746522775	0.5167593575590511
GLUCUROCAT-PWY	1.578379800288758	0.4542126038462059	0.5389880114556365
TCA	1.5744108298624724	0.4551148770199379	0.5389880114556365
DTDPRHAMSYN-PWY	1.5378124142050638	0.4635197857882516	0.5472884217740802
PRPP-PWY	1.4679905853035962	0.4799874637293423	0.5650302876333398
PWY-7111	1.4550546289567592	0.4831020739254065	0.5669940508346089
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	1.4055855966474442	0.49520037599957456	0.5794583504233828
PWY-5181	1.3820550142886616	0.501060960755719	0.5845711208816723
PWY-4984	1.3178868899458394	0.5173977049518113	0.6018394668875667
PWY-6185	1.279711203322783	0.5273685696905613	0.6116227198778108
PWY-6182	1.2376825477409383	0.5385681291448161	0.6227690460907608
PYRIDOXSYN-PWY	1.220437552051635	0.5432320099329786	0.6263145526286107
PWY-5345	1.2009900484974878	0.5485400282579459	0.6305797392290756
PWY-5417	1.1730045479258409	0.5562695645124939	0.6357366451571359
PWY-5431	1.1730045479258409	0.5562695645124939	0.6357366451571359
PWY-7199	1.0939980829102751	0.5786838133781278	0.6575189995484815
DHGLUCONATE-PYR-CAT-PWY	1.0982061752645331	0.5774675159345298	0.6575189995484815
CATECHOL-ORTHO-CLEAVAGE-PWY	1.074283725815541	0.5844162092587979	0.6621131619348231
PWY-7221	1.0570988172953548	0.5894594145326351	0.6659022780887405
SULFATE-CYS-PWY	1.0138396660563558	0.602348056967259	0.6785070066987515
PWY-6944	0.9964279700919503	0.6076149004878603	0.6824786274820666
PWY-5177	0.924546923322658	0.6298500765409489	0.7054320857258628
PWY-6210	0.8576923076870978	0.651260115339802	0.7071854992055467
PWY-5655	0.8576923076870978	0.651260115339802	0.7071854992055467
CRNFORCAT-PWY	0.9087451522488946	0.634846160655858	0.7071854992055467
PWY-6713	0.8576923076870978	0.651260115339802	0.7071854992055467
PWY-5823	0.8576923076870978	0.651260115339802	0.7071854992055467
LIPASYN-PWY	0.8576923076870978	0.651260115339802	0.7071854992055467
PWY-6338	0.8576923076870978	0.651260115339802	0.7071854992055467
PWY-7097	0.8576923076870978	0.651260115339802	0.7071854992055467
PWY-7644	0.8724141733042211	0.6464838338994856	0.7071854992055467
PWY-7098	0.8576923076870978	0.651260115339802	0.7071854992055467
PWY-7255	0.8576923076870978	0.651260115339802	0.7071854992055467
NONOXIPENT-PWY	0.8156116701218252	0.6651080069415739	0.7202274550306547
